id,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
70172,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18
5047,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6
110028,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0
24026,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9
119299,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0
111157,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0
82113,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23
96462,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0
79485,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0
65725,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0
34991,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0
51412,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0
98628,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8
83502,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0
95789,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35
100580,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0
71142,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51
127461,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10
70354,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5
66246,2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18
39076,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4
22434,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0
43510,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29
114090,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0
105420,5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44
102956,4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28
18510,1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0
14925,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8
118319,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12
75460,3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0
48492,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0
27809,2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0
70594,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120
30089,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24
58779,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0
79659,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1
110293,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0
48014,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20
96517,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31
64685,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0
64138,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0
60373,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23
14849,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0
28319,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0
103012,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15
124114,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0
107794,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0
81983,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0
53164,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0
82042,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0
72127,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8
113046,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1
1050,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0
54886,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0
125918,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10
7467,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48
78972,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5
126625,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0
114501,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26
114813,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0
32167,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0
68001,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0
117052,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1
8661,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0
57165,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15
78610,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0
51058,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0
92027,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0
115534,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12
9261,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0
61033,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0
75930,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49
112142,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2
24518,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37
112524,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0
101639,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1
85018,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6
106922,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5
32564,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0
92242,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0
73302,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48
42267,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0
121358,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8
65655,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0
88062,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50
91330,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3
22031,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0
27921,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0
51947,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0
40017,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0
76392,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0
118486,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19
6012,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72
30183,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0
41652,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11
15138,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34
123589,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18
114534,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0
93076,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62
96963,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27
85494,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52
72989,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0
42357,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0
23040,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0
65420,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0
65045,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0
37373,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0
44405,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23
16653,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0
71655,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0
77591,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3
4585,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13
108347,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0
23400,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82
31010,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0
57513,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10
20979,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0
95841,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0
114684,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23
111667,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0
20101,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9
63212,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0
8256,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0
56161,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9
121196,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30
23788,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0
129579,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8
127516,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16
18012,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0
45561,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0
5228,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11
18311,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3
59891,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0
60651,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0
51013,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0
91746,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0
4233,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0
14187,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0
19669,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0
31147,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0
128842,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10
27562,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0
775,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0
14070,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0
106007,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6
116004,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6
68886,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7
72413,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7
73604,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0
48415,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0
105708,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10
65579,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15
73058,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0
65585,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0
8346,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0
79678,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27
112483,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122
31698,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0
74030,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0
124931,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3
73924,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0
76073,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11
104623,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0
58523,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0
121929,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0
30704,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27
58896,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30
26920,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2
13884,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179
87681,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15
81719,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0
85554,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0
12645,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1
101275,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20
95982,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0
74610,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0
76449,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0
14030,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7
69692,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125
47648,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0
52168,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0
60251,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26
35881,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0
28852,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0
55341,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9
84553,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0
